accounttypelovdesc,approvedforonboarding,businesssegmentlovdesc,businesssubsegmentlovdesc,createdby,createdon,incorporationcountrycode,internalidentifiers_ccid,internalidentifiers_onboardingcaseid,internalidentifiers_scileid,internalidentifiers_scisubprofileid,justificationforclientonboarding,modifiedby,modifiedon,prospectclassificationlovdesc,prospectcountrycode,prospectdisqualifyreasondesc,prospectid,prospectname,prospectsourcelovdesc,prospectstatuslovdesc,prospecttierlovdesc,prospecttypelovdesc,prospectstagelovdesc,yearonrevenueprojectionusd000,yearthreerevenueprojectionusd000,yearfiverevenueprojectionusd000,caseid,legalentityid,casestage_lovdesc,priority,businessunit_lovdesc,casestatus_lovdesc,createdondate,casestatusmodifieddate,caseoriginaltargetcompletiondate,comments,kycreviewtype,kycreviewreasons,fccrecommendation
Borrowing,True,Global Corporate,Global Subsidiaries GC,Amit Singh,2022-05-08,IN,537639,455904,514251,340982,Strong revenue potential.,Rohit Sharma,2022-11-30,Liquidity provider,IN,Auto disqualified,2364,Prospect_2364,Self,Disqualified,Gold,Standalone,Converted,77358.07,134206.37,21435.34,CASE100059,,Business Acceptance,Medium,HONG KONG,Closed,2021-01-14,2022-12-27,2024-05-06,"High potential client, fast-track onboarding recommended.",New Business,New Business,True
Borrowing,True,Middle Market,Financial Sponsors - Portfolio Companies,Lisa Wong,2022-12-29,SG,266325,942310,845694,606797,High strategic importance.,Lisa Wong,2020-02-19,None,US,Client decision,1989,Prospect_1989,User Referral,Qualified,Portfolio,Subsidiary,Draft,27446.65,147714.79,71899.44,CASE100060,,Business Acceptance,High,HONG KONG,Closed,2023-05-11,2024-06-08,2022-06-06,Client classified as low risk after initial screening.,New Business,Refresh KYC,False
Borrowing,False,Local Corporate,Finance Companies,Emily Davis,2020-10-19,DE,516854,903363,318321,816191,Existing group relationship.,Rohit Sharma,2020-10-07,None,IN,Auto disqualified,512,Prospect_512,Self,Gold,Portfolio,Standalone,Onboarding In Progress,26729.35,107497.82,105958.45,CASE100061,,Validation,High,INDIA,Closed,2024-03-12,2021-11-23,2025-12-15,Client onboarding completed successfully.,New Business,New Business,True
Borrowing,True,Local Corporate,FI - Financial Sponsors,Sarah Lee,2021-12-01,HK,210996,407266,585077,766630,Client meets all KYC requirements.,Maria Garcia,2024-01-26,Transaction participation counterparty / SPV,HK,Auto disqualified,390,Prospect_390,User Referral,Gold,Platinum,Standalone,Qualify,98809.11,51436.34,150506.16,CASE100062,,Business Acceptance,Low,INDIA,Open,2025-07-05,2023-06-08,2021-05-13,Onboarding delayed due to missing tax documents.,Refresh KYC,New Business,True
Borrowing,True,Local Corporate,Local Corporates,Maria Garcia,2025-12-27,GB,694194,832754,356750,662026,Client meets all KYC requirements.,Emily Davis,2022-04-13,Liquidity provider,AU,Auto disqualified,1932,Prospect_1932,User Referral,Disqualified,Platinum,Subsidiary,Converted,11653.89,134429.26,132219.73,CASE100063,,Business Acceptance,Medium,SINGAPORE,Closed,2023-04-24,2024-02-09,2022-06-01,Enhanced due diligence recommended based on risk factors.,Refresh KYC,Refresh KYC,True
Borrowing,True,Financial Institution,Finance Companies,Amit Singh,2022-09-29,GB,351294,948553,185056,508087,Strong revenue potential.,Kunal Mehta,2023-08-19,Transaction participation counterparty / SPV,IN,Auto disqualified,935,Prospect_935,User Referral,Lead,Platinum,Subsidiary,Draft,64536.35,123401.72,177482.45,CASE100064,,Complete,High,HONG KONG,Closed,2023-04-26,2023-07-06,2021-08-17,"High potential client, fast-track onboarding recommended.",New Business,Refresh KYC,True
Borrowing,False,Middle Market,Fintech - Other,Maria Garcia,2021-10-31,US,352465,946402,766877,196385,Client meets all KYC requirements.,Emily Davis,2022-09-06,None,DE,Auto disqualified,116,Prospect_116,User Referral,Lead,Portfolio,Subsidiary,Draft,73644.52,111145.96,119808.37,CASE100065,,Complete,Low,SINGAPORE,Closed,2023-08-02,2023-06-17,2025-05-06,Client onboarding completed successfully.,Refresh KYC,Refresh KYC,True
Non-Borrowing,True,Global Corporate,Finance Companies,Priya Nair,2025-03-08,DE,906214,843009,322065,308638,Client meets all KYC requirements.,Kunal Mehta,2023-02-11,Co-Borrower / Guarantor,SG,Auto disqualified,1214,Prospect_1214,Self,Portfolio,Gold,Group,Converted,77344.14,58442.33,14552.33,CASE100066,,Complete,Medium,SINGAPORE,Open,2021-09-02,2020-05-07,2020-11-28,"High potential client, fast-track onboarding recommended.",New Business,New Business,True
Non-Borrowing,False,Local Corporate,Middle Markets,David Chen,2024-04-03,SG,777999,588260,462789,207775,Existing group relationship.,David Chen,2024-08-18,None,SG,Auto disqualified,2553,Prospect_2553,Self,Gold,Gold,Subsidiary,Onboarding In Progress,66606.92,90407.25,93860.67,CASE100067,,Complete,High,HONG KONG,Open,2020-09-02,2024-12-05,2021-01-24,Client classified as low risk after initial screening.,New Business,Refresh KYC,False
Borrowing,False,Middle Market,Finance Companies,Lisa Wong,2023-01-10,GB,793015,400464,296828,358297,Client meets all KYC requirements.,John Mathews,2024-08-10,Transaction participation counterparty / SPV,DE,Client decision,1201,Prospect_1201,User Referral,Silver,Gold,Standalone,Onboarding In Progress,41529.61,58030.27,154328.39,CASE100068,,Business Acceptance,High,INDIA,Open,2022-04-17,2025-06-22,2025-09-03,"Compliance review in progress, awaiting approvals.",New Business,New Business,False
Non-Borrowing,True,Local Corporate,Fintech - Other,Rohit Sharma,2022-06-18,GB,122829,300484,155722,885746,Existing group relationship.,Priya Nair,2020-05-02,Co-Borrower / Guarantor,IN,Auto disqualified,2632,Prospect_2632,Self,Converted,Gold,Subsidiary,Qualify,11833.63,25972.56,96591.8,CASE100069,LE202633,Validation,Low,HONG KONG,Closed,2020-06-14,2020-03-03,2022-06-21,"Compliance review in progress, awaiting approvals.",New Business,New Business,False
Non-Borrowing,False,Global Corporate,Origination GC,Maria Garcia,2023-08-21,HK,616231,843161,806872,163843,Strong revenue potential.,Priya Nair,2025-01-02,Transaction participation counterparty / SPV,SG,Auto disqualified,1645,Prospect_1645,Self,Portfolio,Platinum,Standalone,Converted,57144.15,116537.63,25490.23,CASE100070,,Complete,Medium,INDIA,Open,2021-07-09,2020-03-04,2021-03-09,Pending additional KYC documentation from client.,Refresh KYC,Refresh KYC,False
Non-Borrowing,False,Middle Market,Global Subsidiaries GC,Amit Singh,2020-08-17,GB,231404,945101,269674,135127,Strong revenue potential.,Kunal Mehta,2023-08-10,Co-Borrower / Guarantor,DE,Auto disqualified,1874,Prospect_1874,User Referral,Silver,Portfolio,Standalone,Qualify,58920.22,104954.48,139954.84,CASE100071,,Validation,Medium,SINGAPORE,Closed,2025-04-23,2023-08-07,2025-12-28,"High potential client, fast-track onboarding recommended.",New Business,New Business,True
Non-Borrowing,True,Financial Institution,Origination GC,Kunal Mehta,2022-07-27,DE,141986,267631,440549,185851,Strong revenue potential.,Kunal Mehta,2024-03-16,Co-Borrower / Guarantor,IN,Auto disqualified,2419,Prospect_2419,User Referral,Disqualified,Platinum,Standalone,Onboarding In Progress,65244.77,45296.67,145833.65,CASE100072,,Complete,High,INDIA,Closed,2024-04-28,2022-08-10,2025-05-11,Client onboarding completed successfully.,New Business,Refresh KYC,False
Borrowing,False,Financial Institution,Origination GC,Maria Garcia,2020-05-11,DE,152385,184791,729430,334978,Strong revenue potential.,Amit Singh,2022-10-22,Transaction participation counterparty / SPV,AU,Auto disqualified,1682,Prospect_1682,Self,Gold,Gold,Group,Qualify,92748.66,76583.15,152299.5,CASE100073,,Validation,Medium,INDIA,Open,2022-12-09,2023-12-29,2021-06-10,Pending additional KYC documentation from client.,Refresh KYC,New Business,False
Non-Borrowing,True,Local Corporate,Fintech - Other,Maria Garcia,2023-07-16,IN,347295,467990,593307,872127,Existing group relationship.,David Chen,2023-03-06,Transaction participation counterparty / SPV,IN,Auto disqualified,2821,Prospect_2821,User Referral,Disqualified,Gold,Subsidiary,Draft,43902.34,89465.53,68898.03,CASE100074,,Complete,Medium,INDIA,Closed,2025-03-12,2023-08-11,2021-01-29,Enhanced due diligence recommended based on risk factors.,New Business,Refresh KYC,True
Borrowing,False,Local Corporate,Hedge Funds,Kunal Mehta,2024-07-01,US,642904,100574,624567,767212,Client meets all KYC requirements.,Sarah Lee,2023-01-24,Co-Borrower / Guarantor,AU,Client decision,2157,Prospect_2157,Self,Disqualified,Gold,Standalone,Onboarding In Progress,95858.06,120860.86,136923.37,CASE100075,,Complete,Low,INDIA,Closed,2022-04-09,2025-09-10,2024-08-19,Client onboarding completed successfully.,Refresh KYC,New Business,False
Non-Borrowing,False,Middle Market,FI - Financial Sponsors,Lisa Wong,2023-01-01,DE,939541,494317,210770,119269,Strong revenue potential.,David Chen,2024-07-14,Co-Borrower / Guarantor,GB,Client decision,1111,Prospect_1111,User Referral,Gold,Platinum,Subsidiary,Onboarding In Progress,21488.25,4243.09,147401.52,CASE100076,,Business Acceptance,High,HONG KONG,Open,2020-04-15,2025-10-25,2023-09-23,Onboarding delayed due to missing tax documents.,Refresh KYC,New Business,True
Non-Borrowing,True,Global Corporate,Fintech - Other,David Chen,2020-09-28,AU,979161,379903,552796,960252,Existing group relationship.,David Chen,2024-11-04,None,AU,Auto disqualified,2137,Prospect_2137,User Referral,Disqualified,Portfolio,Standalone,Onboarding In Progress,25457.43,130809.36,77385.2,CASE100077,,Business Acceptance,High,SINGAPORE,Closed,2025-10-01,2021-06-17,2020-01-12,Enhanced due diligence recommended based on risk factors.,New Business,New Business,False
Non-Borrowing,True,Local Corporate,Origination GC,Maria Garcia,2022-05-14,GB,629570,356762,171847,193705,Client meets all KYC requirements.,John Mathews,2024-12-13,Transaction participation counterparty / SPV,GB,Auto disqualified,1913,Prospect_1913,Self,Gold,Gold,Standalone,Qualify,12625.23,57188.35,83306.4,CASE100078,,Complete,Medium,INDIA,Open,2021-08-02,2022-04-17,2021-02-02,Onboarding delayed due to missing tax documents.,New Business,New Business,True
Borrowing,False,Middle Market,Finance Companies,Maria Garcia,2023-07-12,HK,907956,719326,741077,993818,Existing group relationship.,Priya Nair,2021-08-30,None,SG,Auto disqualified,1325,Prospect_1325,User Referral,Portfolio,Portfolio,Standalone,Draft,7512.09,78359.23,98512.79,CASE100079,,Business Acceptance,High,HONG KONG,Open,2023-05-14,2022-12-16,2025-11-19,"High potential client, fast-track onboarding recommended.",New Business,New Business,True
Non-Borrowing,False,Global Corporate,FI - Financial Sponsors,Rohit Sharma,2022-05-20,AU,894176,400146,234721,323143,Strong revenue potential.,Rohit Sharma,2020-08-07,Liquidity provider,SG,Auto disqualified,709,Prospect_709,Self,Qualified,Portfolio,Subsidiary,Qualify,46395.37,69778.74,122132.98,CASE100080,,Validation,Low,INDIA,Closed,2020-08-20,2021-02-18,2020-10-30,Onboarding delayed due to missing tax documents.,Refresh KYC,Refresh KYC,False
Borrowing,True,Local Corporate,Local Corporates,Kunal Mehta,2025-08-06,IN,498913,185868,290066,226793,Existing group relationship.,Lisa Wong,2021-01-26,Transaction participation counterparty / SPV,DE,Auto disqualified,2430,Prospect_2430,User Referral,Converted,Platinum,Group,Qualify,63452.06,118341.71,60513.83,CASE100081,LE202431,Business Acceptance,Low,HONG KONG,Open,2022-02-11,2021-05-24,2025-03-21,"Compliance review in progress, awaiting approvals.",New Business,Refresh KYC,False
Non-Borrowing,False,Local Corporate,Local Corporates,David Chen,2024-06-08,AU,431049,885739,425902,153281,Existing group relationship.,Priya Nair,2020-08-27,Liquidity provider,US,Auto disqualified,1683,Prospect_1683,User Referral,Portfolio,Platinum,Group,Converted,39284.26,99301.49,32605.84,CASE100082,,Complete,Medium,HONG KONG,Closed,2024-01-24,2025-09-24,2024-01-22,Enhanced due diligence recommended based on risk factors.,New Business,Refresh KYC,True
Borrowing,False,Middle Market,Middle Markets,David Chen,2025-02-22,GB,778186,965784,663925,247054,Client meets all KYC requirements.,John Mathews,2021-07-19,Liquidity provider,AU,Client decision,1508,Prospect_1508,Self,Lead,Portfolio,Standalone,Onboarding In Progress,55200.95,111877.5,49308.66,CASE100083,,Complete,Medium,INDIA,Closed,2022-09-18,2020-04-22,2025-02-13,"High potential client, fast-track onboarding recommended.",New Business,Refresh KYC,True
Non-Borrowing,False,Local Corporate,Origination GC,Priya Nair,2021-08-08,US,766905,303482,738381,111210,Strong revenue potential.,Lisa Wong,2022-12-29,Transaction participation counterparty / SPV,AU,Client decision,2162,Prospect_2162,Self,Portfolio,Portfolio,Subsidiary,Draft,40141.15,145646.92,106976.62,CASE100084,,Business Acceptance,High,INDIA,Closed,2021-12-06,2022-01-03,2024-09-20,Client onboarding completed successfully.,Refresh KYC,Refresh KYC,True
Borrowing,False,Financial Institution,Finance Companies,Lisa Wong,2022-12-20,US,994914,900751,466189,682999,Client meets all KYC requirements.,Priya Nair,2020-03-06,Liquidity provider,US,Client decision,291,Prospect_291,Self,Gold,Platinum,Subsidiary,Draft,4489.35,116798.23,149419.37,CASE100085,,Validation,High,SINGAPORE,Open,2021-01-10,2022-08-09,2020-02-02,"Compliance review in progress, awaiting approvals.",New Business,Refresh KYC,True
Borrowing,True,Global Corporate,Hedge Funds,Priya Nair,2021-07-25,DE,882807,473270,127907,850176,Client meets all KYC requirements.,Sarah Lee,2021-07-24,Co-Borrower / Guarantor,IN,Client decision,1707,Prospect_1707,User Referral,Converted,Portfolio,Standalone,Draft,17417.24,110270.02,174743.23,CASE100086,LE201708,Validation,High,SINGAPORE,Closed,2021-11-21,2025-10-20,2021-02-24,Pending additional KYC documentation from client.,Refresh KYC,New Business,False
Non-Borrowing,True,Global Corporate,Global Subsidiaries GC,Emily Davis,2022-10-07,US,892985,186384,329399,227483,High strategic importance.,Amit Singh,2021-01-10,None,US,Client decision,1152,Prospect_1152,User Referral,Qualified,Portfolio,Group,Draft,26798.22,20408.0,179387.44,CASE100087,,Business Acceptance,Medium,INDIA,Open,2023-03-11,2023-08-11,2025-09-25,Pending additional KYC documentation from client.,Refresh KYC,New Business,True
Borrowing,True,Financial Institution,Global Subsidiaries GC,Sarah Lee,2022-12-12,GB,488487,793973,948722,909272,Client meets all KYC requirements.,David Chen,2025-09-07,Co-Borrower / Guarantor,HK,Client decision,1752,Prospect_1752,User Referral,Gold,Portfolio,Subsidiary,Draft,63486.75,52854.18,114816.57,CASE100088,,Business Acceptance,High,INDIA,Open,2023-03-16,2020-08-25,2020-05-11,Pending additional KYC documentation from client.,Refresh KYC,Refresh KYC,False
Non-Borrowing,True,Middle Market,FI - Financial Sponsors,Lisa Wong,2024-10-20,IN,811342,123909,123645,501045,Client meets all KYC requirements.,Kunal Mehta,2021-09-15,Liquidity provider,GB,Auto disqualified,1170,Prospect_1170,User Referral,Gold,Gold,Subsidiary,Qualify,86504.41,89147.42,172892.05,CASE100089,,Validation,Medium,HONG KONG,Closed,2020-02-09,2021-07-12,2025-10-30,Onboarding delayed due to missing tax documents.,New Business,New Business,False
Non-Borrowing,True,Financial Institution,Hedge Funds,Emily Davis,2024-06-23,DE,935748,251853,862111,285547,High strategic importance.,Kunal Mehta,2021-07-18,Co-Borrower / Guarantor,AU,Client decision,1853,Prospect_1853,Self,Gold,Gold,Subsidiary,Draft,18187.87,44376.59,52260.86,CASE100090,,Business Acceptance,High,INDIA,Closed,2021-12-09,2025-12-31,2024-10-31,"High potential client, fast-track onboarding recommended.",New Business,New Business,True
Non-Borrowing,True,Financial Institution,Local Corporates,Sarah Lee,2024-01-22,SG,372327,548158,879477,705405,Client meets all KYC requirements.,Amit Singh,2022-06-30,Transaction participation counterparty / SPV,DE,Auto disqualified,1708,Prospect_1708,Self,Disqualified,Platinum,Subsidiary,Qualify,22620.92,98091.71,88307.82,CASE100091,,Validation,Low,SINGAPORE,Open,2022-03-31,2023-02-22,2024-12-05,"High potential client, fast-track onboarding recommended.",New Business,Refresh KYC,True
Non-Borrowing,False,Global Corporate,Financial Sponsors - Portfolio Companies,Amit Singh,2022-06-17,AU,577841,341090,472207,767679,Strong revenue potential.,Amit Singh,2025-10-03,Liquidity provider,DE,Auto disqualified,1205,Prospect_1205,User Referral,Qualified,Gold,Subsidiary,Converted,71513.25,39400.31,44055.07,CASE100092,,Validation,Medium,HONG KONG,Open,2024-11-22,2025-07-08,2023-08-01,"Compliance review in progress, awaiting approvals.",Refresh KYC,New Business,True
Non-Borrowing,True,Middle Market,Local Corporates,Lisa Wong,2021-07-20,DE,765291,365894,944570,506140,Existing group relationship.,Emily Davis,2025-01-03,Transaction participation counterparty / SPV,SG,Client decision,1848,Prospect_1848,Self,Lead,Platinum,Standalone,Converted,95608.69,47666.25,27375.98,CASE100093,,Validation,High,SINGAPORE,Closed,2022-08-14,2025-05-25,2021-05-27,Enhanced due diligence recommended based on risk factors.,New Business,Refresh KYC,True
Non-Borrowing,False,Local Corporate,Local Corporates,Kunal Mehta,2025-09-18,US,522051,834020,994414,940299,High strategic importance.,Rohit Sharma,2023-03-29,Liquidity provider,DE,Auto disqualified,102,Prospect_102,Self,Converted,Platinum,Subsidiary,Qualify,35300.2,4986.17,133632.33,CASE100094,LE200103,Complete,Medium,INDIA,Open,2023-04-01,2021-11-10,2021-05-31,Pending additional KYC documentation from client.,Refresh KYC,Refresh KYC,False
Non-Borrowing,False,Financial Institution,Local Corporates,Emily Davis,2025-07-14,IN,329479,592819,643155,792946,High strategic importance.,Rohit Sharma,2020-01-05,Liquidity provider,US,Client decision,2721,Prospect_2721,Self,Disqualified,Portfolio,Standalone,Draft,32019.05,34730.32,47058.63,CASE100095,,Business Acceptance,Medium,SINGAPORE,Closed,2020-03-31,2023-10-27,2024-08-12,Enhanced due diligence recommended based on risk factors.,New Business,Refresh KYC,True
Non-Borrowing,False,Financial Institution,Finance Companies,Maria Garcia,2021-01-07,HK,303905,219294,255172,709708,Client meets all KYC requirements.,Kunal Mehta,2021-09-03,Transaction participation counterparty / SPV,HK,Client decision,772,Prospect_772,User Referral,Silver,Platinum,Standalone,Onboarding In Progress,36129.27,76742.9,113039.38,CASE100096,,Complete,Low,INDIA,Open,2022-10-23,2025-10-12,2021-06-21,Pending additional KYC documentation from client.,Refresh KYC,Refresh KYC,False
Non-Borrowing,True,Middle Market,Fintech - Other,Priya Nair,2020-07-11,HK,334067,193177,187029,727687,High strategic importance.,David Chen,2024-05-20,Liquidity provider,US,Client decision,2772,Prospect_2772,Self,Lead,Gold,Standalone,Draft,17004.95,95149.19,14426.72,CASE100097,,Complete,High,SINGAPORE,Closed,2021-01-04,2025-06-14,2023-06-08,"Compliance review in progress, awaiting approvals.",New Business,Refresh KYC,False
